단계명,날짜,비고
강화된 거리두기,2020.03.22,교회/클럽/헬스장 등 다인이용시설 운영 통제
첫 집합금지,2020.04.08,유흥업소 집합금지
일부조치완화,2020.04.20,운영 자제 권고
생활속거리두기,2020.05.06,
2단계(3단계),2020.08.16,
2.5단계(3단계),2020.08.30,
2단계(3단계),2020.09.14,
1단계,2020.10.12,거리두기 단계 체제 5단계로 변경
2단계,2020.11.24,
2.5단계,2020.12.06,
2.5단계,2021.01.18,노래연습장/학원/실내체육시설 집합금지 해제 오후9시까지 운영허용
2.5단계,2021.02.01,
2.5단계,2021.02.07,5인이상 사적모임 금지/설연휴 특별방역대책 유지
2단계,2021.02.15,운영시간 오후 10시로 완화/방역수칙 준수하는 조건으로 유흥업소 10시까지 운영
4단계,2021.07.12,
4단계,2021.07.14,유치원/초등학교/중학교/고등학교 전면 격 수업
4단계,2021.09.04,예방접종 완료자에 한해 사적모임 6인 가능
거리두기 해제,2022.04.18,

